arnett_ni_mass,band_bc,band_extinction,band_t0,beta_req,distance,ebv_gal,ebv_host,host,lb,name,ni_khatami,peakL,peakt,prentice_ni,prentice_peakL,prentice_peakt,smoothing_bc,sn_type,sn_type_full,source,source_bc,t0,tail_meje,tail_ni_mass,ub,verbose
0.10844266073178631;0.024984242954006721,V;I;r,V;i,R,0.69701223158015224;0.25187951841783573,70000000.0;7000000.0,0.0975;0.0012,0.068;0.037,UGC 12188,0.0,SN2006el,0.059748298163296819;0.013648916343476923,42.270946406384212;41.629719038695391,21.399999999999967;0.71545709315768613,NA,42.237;0.086;0.063,NA,1.0,IIb,IIb,4,4;6,53962.299999999814;0.7,3.9484553981965207;0.66340727113647224,0.051910003289006884;0.0049986161917778306,7.0,1
0.16348762281312584;0.067075366083789292,B;V,V;i,V,0.28684109472586572;0.22362070840988885,61700000.0;4270000.0,0.0306;0.0005,0.33;0.05,NGC 214,0.0,SN2006ep,0.10972089138558974;0.020972556400437985,42.546762827155199;41.828124870944691,14.999999999999964;7.0003879846194002,0.067;0.019;0.014,42.142;0.075;0.060,18.002;1.653,1.0,Ib,Ib,5,2,53970.5;7.0,3.5065649484436525;0.9729834386635664,0.057967961583360775;0.01454066663122482,7.0,1
0.072426422608937391;0.018184626878798137,V;I,V;R,V,0.76882844339264478;0.32577381169299846,8970000.0;630000.0,0.0532;0.0005,0.15;0.11,NGC 1058,0.0,SN2007gr,0.057226132977159935;0.0096474409634556106,42.377895793857384;41.604713523786103,9.800000000000006;2.5006489724869421,0.073;0.020;0.013,42.299;0.099;0.079,13.146;0.229,5.0,Ic,Ic,9,9,54329.72999999998;2.5,3.9654202483593179;0.49053011289454446,0.047197466018262704;0.0040279175020266336,7.0,1
0.2689939380719274;0.066857937561022721,V;I,V;R,V,0.086411299087900365;0.12960396571606289,60900000.0;4220000.0,0.2217;0.0046,0.0;0.02,UGC 1238,0.0,SN2007ru,0.20634630469797544;0.035017314950903072,42.904585800141568;42.13427194661255,11.100000000000007;3.0074839714070629,0.323;0.044;0.024,43.033;0.054;0.032,10.242;0.047,1.0,Ic,Ic BL,8,8,54429.5;3.0,3.3669513708819796;0.46637342280876137,0.10266088303256181;0.0085598752991485633,7.0,1
0.28965706091731608;0.08690544960968849,B;V,B;V,V,0.63834029978755413;0.28841310937144277,31400000.0;2180000.0,0.0192;0.0003,0.53;0.02,	NGC 2770,0.0,SN2007uy,0.2088516015777738;0.047075101557314647,42.804707526124282;42.15766098173814,16.099999999999959;3.5008483480524455,0.394;0.604;0.215,42.887;0.398;0.338,19.075;0.284,1.0,Ib,Ib pec,4,4,54463.950000000186;3.5,3.7459095279697721;0.79381745181009755,0.14341150242724932;0.023583567731243944,7.0,1
0.065645137463625686;0.01126952234303652,V;I;r,V;r,,0.81580370586044582;0.20917230111986096,31400000.0;2180000.0,0.0193;0.0002,0.47;0.037,NGC 2770,,SN2008D,0.046219361597197146;0.0079229062374747642,42.081285729466941;41.315346303314669,19.899999999999963;0.20628987636918153,0.111;0.167;0.059,42.333;0.393;0.325,19.293;0.229,1.0,Ib,Ib,4,4,54474.56399999978;0.0,3.2690021104875715;0.43953071030385987,0.035954573223360403;0.002886107536834655,,1
0.12109372059686535;0.023425161230777272,V;R,B;V,r,0.7292043660090366;0.20685364703416464,9200000.0;640000.0,0.0188;0.0002,0.25;0.04,NGC 4490,0.0,SN2008ax,0.066518358096902763;0.012446204264724741,42.311875491963953;41.583970895438711,21.799999999999958;1.1944994120366408,0.109;0.021;0.014,42.326;0.075;0.056,19.283;0.127,0.1,IIb,IIb,12,17,54528.299999999814;1.0,3.1014659801108753;0.53812597003041851,0.060083588393861555;0.0092974225722009148,7.0,1
0.19378529418775284;0.035554123974107926,V;I,V;R,B,1.2332563503885214;0.34754753827757406,40100000.0;2830000.0,0.0847;0.001,0.4;0.08,NGC 3278,0.0,SN2009bb,0.15239276726801337;0.026011820543985882,42.775240584171051;42.007446977923316,11.000000000000007;1.0882898747397225,0.258;0.119;0.073,42.863;0.162;0.143,12.631;0.095,3.0,Ic,Ic BL,6,6,54912.919999999925;1.08,1.4921988461898525;0.45395050745596666,0.15837776265497272;0.054628383370803821,7.0,1
0.28571755950039224;0.069362786214797953,V;I,V;R,B,0.87495435882088712;0.20411475597307693,33800000.0;2350000.0,0.097;0.0013,0.07;0.065,NGC 7479,0.0,SN2009jf,0.20238026204026582;0.034226428416508914,42.684088109352004;41.912281537624452,22.299999999999955;4.204595607787482,0.271;0.051;0.035,42.682;0.072;0.057,21.267;0.164,1.0,Ib,Ib,5;8,8,55099.54000000004;4.2,4.9476690560259673;0.70783642553027115,0.16399205537918679;0.021707329058471399,7.0,1
0.62906233364516506;0.10718026630936477,V;I,B;V,R,1.7108742932299223;0.41280440784281336,99200000.0;6800000.0,0.0285;0.0005,0.0;0.15,IC 3918,0.0,SN2011bm,0.43149335659636878;0.073231928470723268,42.861249914053978;42.090976271368241,34.599999999999909;0.68445375022902055,0.702;0.176;0.106,42.922;0.096;0.069,34.586;0.151,3.0,Ic,Ic,3,3,55645.5;0.5,3.7270169184188893;2.8213965610125769,0.57352337033824696;0.038207738488089282,7.0,1
0.16920862232091072;0.016385122659257362,V;R,V;R,,0.81304130610449843;0.11615396827681651,8580000.0;100000.0,0.0309;0.0017,0.15;0.028,M51,,SN2011dh,0.094543129664679079;0.009152193464516574,42.489140282233897;41.475035499484335,20.099999999999945;0.049986819330423177,0.075;0.011;0.006,42.246;0.057;0.036,15.712;0.017,1.0,IIb,IIb,17,17,55712.0;0.0,3.1866402807349763;0.26909867195857151,0.093482298670807706;0.0015400845704361863,,1
0.095541285370085396;0.016648041945140139,V;I,V;R,r,0.42760483814741357;0.18938446711168078,23900000.0;1670000.0,0.0436;0.0006,0.15;0.04,NGC 5806,0.0,iPTF13bvn,0.06910632618551768;0.011658344126852982,42.312953161782985;41.540072226585437,16.699999999999974;0.8114814219254507,0.070;0.012;0.006,42.211;0.067;0.037,15.953;0.098,1.0,Ib,Ib,1;2,2,56458.33999999985;0.8,4.2169632364817842;0.48762516369732195,0.039794191913541208;0.0056635358629914638,7.0,1
0.14251235328673842;0.02299899058583665,V;I,V;R,,0.60535844203330225;0.14387616217503521,17900000.0;1000000.0,0.0168;0.0002,0.2;0.04,NGC 4414,,SN2013df,0.07847845572983457;0.011399813420616281,42.372485211475606;41.534632506255356,22.600000000000037;1.6009670684278556,0.144;0.028;0.019,42.397;0.074;0.058,21.793;0.103,0.3,IIb,IIb,8,8,56447.299999999814;0.9,4.0071724000241122;0.39426682988369988,0.06326754284471317;0.0037724160994579352,,1
0.11411810476454333;0.039673934591733143,B;V,V;R,V,0.7870974807904888;0.33104756212496678,23700000.0;1650000.0,0.0198;0.0002,0.1;0.1,NGC 3287,0.0,SN2013ge,0.082385452702130865;0.020337292133209322,42.387403834015849;41.779846428611563,16.799999999999958;4.7041482741041385,0.109;0.032;0.023,42.335;0.077;0.064,18.878;1.697,5.0,Ib,Ib,2,2,56602.29000000004;4.7,3.8371731913616536;0.97889071872776245,0.06267175932075067;0.011980199679353019,7.0,1
0.31691318544871749;0.075104261900058381,V;I,V;R,,0.53542107865013355;0.19990880801215188,26700000.0;1860000.0,0.038;0.0012,0.1;0.07,PGC 37625,0.0,SN2014ad,0.23028912170470109;0.038591052722314396,42.841395431500217;42.065608633879656,16.399999999999959;3.0031375369518583,,,,1.0,Ic,Ic BL,1,1,56724.5;3.0,3.0215293297179677;0.48776176089666334,0.14650573368554981;0.023123855212399354,7.0,1
0.33624884372355607;0.06764522018728629,V;I,V;R,B,0.66756978104125186;0.20109266845458421,18100000.0;1260000.0,0.0737;0.0021,0.27;0.08,UGC 11868,0.0,SN2016coi,0.24332957771462832;0.040561094420740441,42.842932421224241;42.064847183428597,17.599999999999955;2.1117982398772477,,,,2.5,Ic,Ic BL,1,1,57533.22999999998;2.1,4.2419091561659199;0.57113830377168462,0.17031648154436679;0.016437272900934424,7.0,1
0.089059366438883444;0.024449344729008424,V;I,B;V,,0.90828679427281978;0.23774470137786813,19700000.0;1380000.0,0.0166;0.0002,0.2;0.17,NGC 613,,SN2016gkg,0.052565063238314655;0.0088272976445154493,42.289843247296616;41.514973826724912,16.499999999999957;4.0,,,,0.4,IIb,IIb,1; 8,1,57655.2080000001;0.0,3.9002973771475911;0.48456548800584187,0.055170662882271918;0.0042960551709552439,,1
0.12291473890796359;0.046148773831593465,B;V,B;V,i,0.82060980009455753;0.5599443139541761,16700000.0;1700000.0,0.0201;0.0003,0.08;0.02,NGC 1672,0.0,SN2017gax,0.09188948610017629;0.032933004881068879,42.48392610728699;42.038291643103335,14.299999999999967;2.1955019543937713,,,,6.5,Ic,Ic,0,0,57980.080000000075;0.5,3.5593410947719031;1.2150145974627722,0.070124411941716938;0.017683598549705037,4.0,1
