arnett_ni_mass,band_bc,band_extinction,band_t0,beta_req,distance,ebv_gal,ebv_host,host,lb,name,ni_khatami,peakL,peakt,prentice_ni,prentice_peakL,prentice_peakt,smoothing_bc,sn_type,sn_type_full,source,source_bc,t0,tail_meje,tail_ni_mass,ub,verbose
0.10635906713853076;0.012729188301995754,V;I;r,V;i,R,0.69769912184881078;0.093036541293892522,70000000.0;7000000.0,0.0975;0.0012,0.068;0.037,UGC 12188,0.0,SN2006el,0.059032709424778528;0.005033855723973359,42.268239824479323;41.199047872000307,21.399999999999967;1.910449185021956,NA,42.237;0.086;0.063,NA,1.0,IIb,IIb,4,4;6,53962.299999999814;0.7,4.0232140637900251;0.053862827353615611,0.052915723844037525;0.00060154747195044955,7.0,1
0.13170177230722896;0.057134328923593533,B;V,V;i,V,0.30317614395498144;0.28382138895436981,61700000.0;4270000.0,0.0306;0.0005,0.33;0.05,NGC 214,0.0,SN2006ep,0.10869409250889595;0.022262260312456657,42.551243550967122;41.862606866660393,14.699999999999966;7.1646477282784851,0.067;0.019;0.014,42.142;0.075;0.060,18.002;1.653,1.0,Ib,Ib,5,2,53970.5;7.0,3.7257045713662627;0.34302410822769874,0.059788732827692412;0.0054675480753636659,7.0,1
0.063935721090154302;0.021080857214297359,V;I,V;R,V,0.8231029772681917;0.34175514296625409,8970000.0;630000.0,0.0532;0.0005,0.15;0.11,NGC 1058,0.0,SN2007gr,0.055453681944753502;0.0089868092090770978,42.386039282717249;41.595714417198799,9.0000000000000053;2.7615775818593074,0.073;0.020;0.013,42.299;0.099;0.079,13.146;0.229,3.5,Ic,Ic,9,9,54329.72999999998;2.5,3.9820749915197862;0.10984060444727856,0.048172352254474554;0.0015404209432042576,7.0,1
0.28431254011019524;0.053837830365325197,V;I,V;R,V,0.016043449771631774;0.12255049256553956,60900000.0;4220000.0,0.2217;0.0046,0.0;0.02,UGC 1238,0.0,SN2007ru,0.20614820436691297;0.023427238406273365,42.904415177056926;41.959956717931206,11.200000000000006;3.2663476021286599,0.323;0.044;0.024,43.033;0.054;0.032,10.242;0.047,1.0,Ic,Ic BL,8,8,54429.5;3.0,3.4760827158301182;0.089062347310454718,0.1040583400800795;0.0044917184009984701,7.0,1
0.24497037547366007;0.058276200130327284,B;V,B;V,V,0.61826226212350732;0.17696132311357357,31400000.0;2180000.0,0.0192;0.0003,0.53;0.02,	NGC 2770,0.0,SN2007uy,0.20877782192037747;0.026794165142408743,42.80133261174398;41.909688479020453,16.399999999999959;3.5902324259861453,0.394;0.604;0.215,42.887;0.398;0.338,19.075;0.284,1.0,Ib,Ib pec,4,4,54463.950000000186;3.5,3.7720322631064764;0.11395919450959809,0.14439035680529805;0.0068659546398484395,7.0,1
0.068910691658818565;0.0095067519320519728,V;I;r,V;r,,0.78563510002352244;0.16087065289277222,31400000.0;2180000.0,0.0193;0.0002,0.47;0.037,NGC 2770,,SN2008D,0.047060193650336965;0.0056847033294180642,42.089966467278636;41.172020562197112,19.999999999999964;1.6222857862192404,0.111;0.167;0.059,42.333;0.393;0.325,19.293;0.229,1.0,Ib,Ib,4,4,54474.56399999978;0.0,3.3009097070589442;0.055514991681219039,0.036299984411533495;0.00055328592347868722,,1
0.1221519073515946;0.02137259065657994,V;R,B;V,r,0.74244726033245978;0.21755951486946518,9200000.0;640000.0,0.0188;0.0002,0.25;0.04,NGC 4490,0.0,SN2008ax,0.064009083396711478;0.01045901430831849,42.303388716172449;41.516637865111903,21.399999999999959;1.7981182827199662,0.109;0.021;0.014,42.326;0.075;0.056,19.283;0.127,1.5,IIb,IIb,12,17,54528.299999999814;1.0,3.2061612995051481;0.058266122973375786,0.059780581680116365;0.0013633923209916295,7.0,1
0.19008369849392559;0.037860627694103942,V;I,V;R,B,0.89333231806806312;0.35177953229468023,40100000.0;2830000.0,0.0847;0.001,0.4;0.08,NGC 3278,0.0,SN2009bb,0.14962344336031388;0.025660786450692131,42.779024754426892;42.013295071746704,10.600000000000007;1.4278112148181163,0.258;0.119;0.073,42.863;0.162;0.143,12.631;0.095,2.5,Ic,Ic BL,6,6,54912.919999999925;1.08,1.831960504216529;0.1402653067893489,0.13260690404173467;0.016230859398358569,7.0,1
0.27710050313842449;0.074135572228027177,V;I,V;R,B,0.91236854937670786;0.193107202289521,33800000.0;2350000.0,0.097;0.0013,0.07;0.065,NGC 7479,0.0,SN2009jf,0.1967371625875671;0.028806518578326563,42.680519822528112;41.846124193620824,21.899999999999956;4.6491165163060142,0.271;0.051;0.035,42.682;0.072;0.057,21.267;0.164,1.0,Ib,Ib,5;8,8,55099.54000000004;4.2,5.0271007247607464;0.22864759449002181,0.16756463881878506;0.0074572206938179637,7.0,1
0.63420686059525277;0.066328862039737063,V;I,B;V,R,1.4335364513142872;0.20475991230655913,99200000.0;6800000.0,0.0285;0.0005,0.0;0.15,IC 3918,0.0,SN2011bm,0.43775808647835607;0.042270063532356392,42.859468388488715;41.844267111740898,35.69999999999991;1.8556978460741085,0.702;0.176;0.106,42.922;0.096;0.069,34.586;0.151,3.0,Ic,Ic,3,3,55645.5;0.5,-9.844711110115572;12.239302113211163,0.52533321190091709;0.048169367849661644,7.0,1
0.16647850607962295;0.016267697871788136,V;R,V;R,,0.844947701538864;0.12221186043641943,8580000.0;100000.0,0.0309;0.0017,0.15;0.028,M51,,SN2011dh,0.0924829477332023;0.00901320795541867,42.489530887070508;41.478348614745464,19.599999999999948;0.26193805339555792,0.075;0.011;0.006,42.246;0.057;0.036,15.712;0.017,1.0,IIb,IIb,17,17,55712.0;0.0,3.2947620608219426;0.046705295600275823,0.094387674364642987;0.0012812593250121317,,1
0.10000824328323096;0.012192815471378866,V;I,V;R,r,0.44203814191576302;0.12671387449225646,23900000.0;1670000.0,0.0436;0.0006,0.15;0.04,NGC 5806,0.0,iPTF13bvn,0.070142088239991934;0.0075144691009630333,42.312597077993082;41.342516689625036,17.199999999999974;1.134781997678729,0.070;0.012;0.006,42.211;0.067;0.037,15.953;0.098,1.0,Ib,Ib,1;2,2,56458.33999999985;0.8,4.1976045352912665;0.43061603451508979,0.041104811176150016;0.00091279245505674332,7.0,1
0.16810768818363506;0.049459553321171079,V;I,V;R,,0.54902977782899187;0.29938010713008945,17900000.0;1000000.0,0.0168;0.0002,0.2;0.04,NGC 4414,,SN2013df,0.084098910445575936;0.02031863262293573,42.390027836595536;41.773131945326895,23.700000000000053;6.449561446749593,0.144;0.028;0.019,42.397;0.074;0.058,21.793;0.103,0.3,IIb,IIb,8,8,56447.299999999814;0.9,4.0073807337762215;0.056416987129852367,0.064280336261072921;0.00058935270507589309,,1
0.13066041447238588;0.037309989017358075,B;V,V;R,V,0.75292171616399794;0.52708932321692992,23700000.0;1650000.0,0.0198;0.0002,0.1;0.1,NGC 3287,0.0,SN2013ge,0.083032763405314486;0.02078826041421232,42.389585075927634;41.788153732636559,16.999999999999957;5.3260578323224044,0.109;0.032;0.023,42.335;0.077;0.064,18.878;1.697,4.5,Ib,Ib,2,2,56602.29000000004;4.7,3.9264522157198147;0.18371309252659845,0.06358832674136701;0.0036245834034376572,7.0,1
0.32366891142259024;0.095467523063967177,V;I,V;R,,0.52958985247505763;0.19683435842370547,26700000.0;1860000.0,0.038;0.0012,0.1;0.07,PGC 37625,0.0,SN2014ad,0.23165290290093804;0.036117583102468487,42.846485996085356;42.039366929981277,16.399999999999959;3.4240078131761269,,,,1.0,Ic,Ic BL,1,1,56724.5;3.0,3.0483631228002217;0.10709173974473338,0.14877577069902129;0.0087142542690826167,7.0,1
0.32310960525642424;0.057074811766916402,V;I,V;R,B,0.68359934601970418;0.19312171383754984,18100000.0;1260000.0,0.0737;0.0021,0.27;0.08,UGC 11868,0.0,SN2016coi,0.2399263590700125;0.035305647561168024,42.841170449921272;42.008936667912941,17.499999999999957;2.5936614164745375,,,,2.5,Ic,Ic BL,1,1,57533.22999999998;2.1,4.4272574404074208;0.14463123258469052,0.17295315862204474;0.0047274561083126615,7.0,1
0.079817920543167831;0.018001495730181696,V;I,B;V,,0.99151925483755476;0.12617599131858789,19700000.0;1380000.0,0.0166;0.0002,0.2;0.17,NGC 613,,SN2016gkg,0.05099380166200173;0.004208984344899796,42.288947627697723;41.205607547653798,15.899999999999961;4.0,,,,0.4,IIb,IIb,1; 8,1,57655.2080000001;0.0,4.0662280630865908;0.25338036324362601,0.057524693299385782;0.0017203809164749702,,1
0.12429583083695335;0.018825244352725617,B;V,B;V,i,0.68747168611150911;0.20988651286084786,16700000.0;1700000.0,0.0201;0.0003,0.08;0.02,NGC 1672,0.0,SN2017gax,0.091245224756360641;0.012861400772748532,42.475247755292799;41.624325881458908,14.699999999999966;0.8920286042124026,,,,6.5,Ic,Ic,0,0,57980.080000000075;0.5,3.6587458775712518;0.084549399103697367,0.068033533266115151;0.0013704479927521135,4.0,1
